InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
10000-0,SKU044,Synthetic retail product,4,2024-10-09,15.05,10000,United Kingdom
10000-0,SKU086,Synthetic retail product,2,2024-10-09,3.5,10000,United Kingdom
10000-1,SKU077,Synthetic retail product,6,2024-02-04,8.08,10000,United Kingdom
10000-1,SKU079,Synthetic retail product,6,2024-02-04,14.46,10000,United Kingdom
10000-1,SKU046,Synthetic retail product,2,2024-02-04,8.52,10000,United Kingdom
10001-0,SKU055,Synthetic retail product,4,2024-05-26,4.67,10001,United Kingdom
10001-0,SKU010,Synthetic retail product,4,2024-05-26,4.38,10001,United Kingdom
10001-0,SKU086,Synthetic retail product,6,2024-05-26,7.91,10001,United Kingdom
10001-1,SKU071,Synthetic retail product,3,2024-03-01,18.08,10001,United Kingdom
10001-1,SKU045,Synthetic retail product,7,2024-03-01,6.18,10001,United Kingdom
10001-1,SKU076,Synthetic retail product,2,2024-03-01,11.54,10001,United Kingdom
10001-2,SKU055,Synthetic retail product,2,2024-06-30,10.81,10001,United Kingdom
10001-3,SKU037,Synthetic retail product,7,2024-12-02,5.85,10001,United Kingdom
10001-3,SKU091,Synthetic retail product,3,2024-12-02,12.19,10001,United Kingdom
10001-3,SKU080,Synthetic retail product,2,2024-12-02,7.58,10001,United Kingdom
10001-4,SKU034,Synthetic retail product,2,2024-09-07,12.46,10001,United Kingdom
10001-4,SKU095,Synthetic retail product,4,2024-09-07,11.62,10001,United Kingdom
10001-5,SKU044,Synthetic retail product,6,2024-10-07,8.81,10001,United Kingdom
10001-5,SKU090,Synthetic retail product,3,2024-10-07,14.39,10001,United Kingdom
10001-5,SKU064,Synthetic retail product,1,2024-10-07,12.7,10001,United Kingdom
10001-6,SKU080,Synthetic retail product,6,2024-10-20,12.31,10001,United Kingdom
10001-7,SKU028,Synthetic retail product,6,2024-06-21,6.02,10001,United Kingdom
10001-7,SKU051,Synthetic retail product,4,2024-06-21,6.83,10001,United Kingdom
10001-7,SKU025,Synthetic retail product,1,2024-06-21,4.65,10001,United Kingdom
10001-8,SKU086,Synthetic retail product,4,2024-08-26,6.57,10001,United Kingdom
10001-8,SKU058,Synthetic retail product,5,2024-08-26,11.95,10001,United Kingdom
10001-9,SKU080,Synthetic retail product,3,2024-02-03,6.51,10001,United Kingdom
10001-9,SKU035,Synthetic retail product,4,2024-02-03,14.26,10001,United Kingdom
10001-10,SKU100,Synthetic retail product,6,2024-04-10,3.91,10001,United Kingdom
10001-10,SKU083,Synthetic retail product,1,2024-04-10,11.28,10001,United Kingdom
10001-11,SKU044,Synthetic retail product,5,2024-11-30,6.19,10001,United Kingdom
10001-12,SKU100,Synthetic retail product,5,2024-07-03,6.68,10001,United Kingdom
10001-12,SKU042,Synthetic retail product,6,2024-07-03,5.31,10001,United Kingdom
10001-12,SKU034,Synthetic retail product,1,2024-07-03,6.37,10001,United Kingdom
10002-0,SKU047,Synthetic retail product,6,2024-09-20,8.23,10002,United Kingdom
10002-0,SKU017,Synthetic retail product,7,2024-09-20,10.92,10002,United Kingdom
10002-0,SKU016,Synthetic retail product,4,2024-09-20,7.66,10002,United Kingdom
10002-1,SKU031,Synthetic retail product,5,2024-06-11,2.73,10002,United Kingdom
10002-2,SKU009,Synthetic retail product,3,2024-08-18,4.27,10002,United Kingdom
10002-2,SKU012,Synthetic retail product,3,2024-08-18,4.53,10002,United Kingdom
10002-2,SKU091,Synthetic retail product,4,2024-08-18,19.0,10002,United Kingdom
10002-3,SKU078,Synthetic retail product,2,2024-04-07,4.45,10002,United Kingdom
10002-4,SKU028,Synthetic retail product,1,2024-09-18,6.55,10002,United Kingdom
10002-4,SKU010,Synthetic retail product,1,2024-09-18,2.66,10002,United Kingdom
10002-4,SKU046,Synthetic retail product,6,2024-09-18,9.53,10002,United Kingdom
10002-5,SKU018,Synthetic retail product,4,2024-04-21,8.56,10002,United Kingdom
10002-5,SKU086,Synthetic retail product,4,2024-04-21,9.5,10002,United Kingdom
10002-6,SKU063,Synthetic retail product,1,2024-09-19,6.99,10002,United Kingdom
10002-7,SKU009,Synthetic retail product,6,2024-08-01,9.42,10002,United Kingdom
10002-7,SKU042,Synthetic retail product,2,2024-08-01,14.05,10002,United Kingdom
